epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.83291,1.21494,3.4377,1.34065,0.00616,0.49792,0.11173,0.07738,0.89948,3.41962,1.18195,5e-05,5e-05,5e-05
2,10.0735,0.98603,3.28079,1.2373,0.00706,0.47292,0.20492,0.13542,0.87947,3.43547,1.1066,0.000111386,0.000111386,0.000111386
3,12.2971,0.72082,2.77346,1.12383,0.01006,0.47292,0.3038,0.19621,0.83836,3.3735,1.00061,0.000171535,0.000171535,0.000171535
4,14.4349,0.70369,2.03742,1.08907,0.01135,0.48958,0.29167,0.19867,0.82294,3.23679,0.96947,0.000230446,0.000230446,0.000230446
5,16.6069,0.66862,1.59168,1.0576,0.01713,0.54167,0.376,0.28016,0.79799,3.14565,1.00263,0.00028812,0.00028812,0.00028812
6,18.7909,0.63389,1.36368,1.02498,0.03002,0.56667,0.3089,0.23652,0.86618,3.16159,1.02645,0.000344556,0.000344556,0.000344556
7,20.9313,0.64627,1.18917,1.04316,0.96646,0.175,0.35969,0.24449,0.85243,3.05531,1.07038,0.000399755,0.000399755,0.000399755
