epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,337.383,0.80543,1.85403,1.25584,0.82342,0.87222,0.8285,0.57246,1.13577,3.1859,1.31757,0.00091882,0.00091882,0.00091882
43,345.077,0.84965,2.05051,1.28825,0.8074,0.83108,0.85476,0.59648,1.14772,3.16695,1.34728,0.00091684,0.00091684,0.00091684
44,352.976,0.83506,1.94694,1.29501,0.81312,0.86447,0.87152,0.60111,1.12464,2.86778,1.32453,0.00091486,0.00091486,0.00091486
45,360.743,0.78126,1.90348,1.23393,0.86462,0.91459,0.8989,0.62446,1.13255,2.68405,1.34827,0.00091288,0.00091288,0.00091288
46,368.659,0.80285,1.78481,1.24328,0.9263,0.84826,0.93918,0.66693,1.11355,2.56123,1.31455,0.0009109,0.0009109,0.0009109
47,376.953,0.77991,1.83079,1.26072,0.83698,0.87685,0.91711,0.62383,1.09177,2.68454,1.28462,0.00090892,0.00090892,0.00090892
48,384.935,0.79116,1.80161,1.26604,0.8446,0.91365,0.91436,0.63967,1.06728,2.66308,1.25543,0.00090694,0.00090694,0.00090694
49,392.906,0.8291,1.87577,1.28298,0.86205,0.86732,0.86322,0.57993,1.0842,2.86903,1.29069,0.00090496,0.00090496,0.00090496
50,401.186,0.76928,1.7668,1.20972,0.86806,0.86944,0.85221,0.59907,1.07345,3.02277,1.27919,0.00090298,0.00090298,0.00090298
51,409.299,0.79839,1.81799,1.26191,0.87503,0.85519,0.84993,0.56188,1.10099,2.93117,1.28476,0.000901,0.000901,0.000901
52,417.554,0.8001,1.78706,1.2424,0.82136,0.87527,0.88304,0.60207,1.04138,2.92977,1.2037,0.00089902,0.00089902,0.00089902
53,425.607,0.76227,1.72775,1.251,0.8259,0.92222,0.90112,0.63614,0.99726,2.7497,1.21856,0.00089704,0.00089704,0.00089704
54,433.757,0.80128,1.71806,1.2429,0.80938,0.92222,0.924,0.67156,1.02983,2.56574,1.25036,0.00089506,0.00089506,0.00089506
55,442.073,0.77406,1.73552,1.2374,0.84833,0.89722,0.90067,0.62698,1.08201,2.49387,1.28207,0.00089308,0.00089308,0.00089308
56,450.138,0.76485,1.70101,1.23369,0.87149,0.84664,0.87676,0.63713,1.11067,2.42823,1.28641,0.0008911,0.0008911,0.0008911
57,458.047,0.76182,1.70041,1.23794,0.86523,0.86465,0.89096,0.6588,1.07709,2.68579,1.2913,0.00088912,0.00088912,0.00088912
58,465.905,0.77933,1.73264,1.24964,0.85003,0.84714,0.89808,0.62691,1.13793,2.83383,1.35276,0.00088714,0.00088714,0.00088714
59,473.818,0.75254,1.72158,1.20069,0.83681,0.85516,0.83848,0.58402,1.16787,3.04907,1.3744,0.00088516,0.00088516,0.00088516
60,481.867,0.81103,1.77925,1.24723,0.84247,0.88286,0.84876,0.58194,1.18476,3.17155,1.35647,0.00088318,0.00088318,0.00088318
61,489.784,0.79766,1.74292,1.2486,0.83951,0.82774,0.82358,0.56149,1.23296,3.24116,1.37715,0.0008812,0.0008812,0.0008812
62,497.885,0.73491,1.71058,1.23373,0.819,0.76944,0.7848,0.53094,1.20332,3.29991,1.38398,0.00087922,0.00087922,0.00087922
63,505.776,0.72588,1.54072,1.21263,0.72508,0.75803,0.739,0.52733,1.23277,3.54519,1.39102,0.00087724,0.00087724,0.00087724
64,513.635,0.71804,1.57579,1.17344,0.72603,0.86408,0.78541,0.53204,1.1973,3.44284,1.3251,0.00087526,0.00087526,0.00087526
65,521.493,0.72656,1.56498,1.21428,0.81742,0.84396,0.84145,0.58231,1.13173,3.31325,1.32878,0.00087328,0.00087328,0.00087328
66,529.453,0.7673,1.68838,1.26301,0.89863,0.89731,0.92717,0.66185,1.07524,2.88976,1.32488,0.0008713,0.0008713,0.0008713
67,537.455,0.77219,1.71909,1.2603,0.85844,0.91641,0.88722,0.62622,1.02378,2.92171,1.291,0.00086932,0.00086932,0.00086932
68,545.355,0.7546,1.6756,1.2114,0.81743,0.90476,0.84974,0.60443,1.02387,3.0058,1.32045,0.00086734,0.00086734,0.00086734
69,553.222,0.75097,1.69555,1.21612,0.81145,0.89915,0.86466,0.59116,1.10737,3.00022,1.36564,0.00086536,0.00086536,0.00086536
70,561.167,0.73459,1.58855,1.2173,0.74759,0.88441,0.8516,0.58658,1.13872,2.95465,1.36177,0.00086338,0.00086338,0.00086338
71,569.174,0.69645,1.55131,1.1832,0.75125,0.84485,0.85753,0.59365,1.06597,3.04442,1.29578,0.0008614,0.0008614,0.0008614
72,577.059,0.78732,1.82004,1.26872,0.80898,0.88135,0.9034,0.61086,1.1061,2.68223,1.30499,0.00085942,0.00085942,0.00085942
73,584.924,0.74475,1.59112,1.21705,0.8452,0.90382,0.90841,0.63152,1.07293,2.50043,1.26865,0.00085744,0.00085744,0.00085744
74,592.856,0.74742,1.62158,1.21005,0.90079,0.88624,0.90914,0.65731,1.03565,2.49615,1.22152,0.00085546,0.00085546,0.00085546
75,600.768,0.74595,1.64524,1.21451,0.88778,0.89198,0.89608,0.64654,0.96581,2.60349,1.17822,0.00085348,0.00085348,0.00085348
76,608.67,0.74937,1.59564,1.22364,0.78872,0.92222,0.89319,0.66067,0.94757,2.62915,1.15374,0.0008515,0.0008515,0.0008515
77,616.554,0.6992,1.59224,1.18442,0.81306,0.92222,0.85894,0.61456,0.93617,2.55958,1.17486,0.00084952,0.00084952,0.00084952
78,624.328,0.72045,1.50465,1.1961,0.82779,0.85925,0.89158,0.64928,0.93554,2.48611,1.18177,0.00084754,0.00084754,0.00084754
79,632.21,0.72066,1.61694,1.20888,0.73662,0.91487,0.88896,0.6712,0.94978,2.78412,1.22899,0.00084556,0.00084556,0.00084556
80,640.138,0.73138,1.66004,1.20811,0.85035,0.87179,0.91252,0.69077,0.94884,2.72931,1.22568,0.00084358,0.00084358,0.00084358
81,648.248,0.75281,1.59189,1.19069,0.82658,0.88784,0.83916,0.61399,1.02583,2.65136,1.2537,0.0008416,0.0008416,0.0008416
82,656.163,0.70342,1.61237,1.20147,0.82395,0.92222,0.85443,0.61867,1.05232,2.48207,1.2599,0.00083962,0.00083962,0.00083962
83,663.996,0.72232,1.53592,1.20241,0.81304,0.92222,0.86095,0.60644,1.03873,2.54154,1.24738,0.00083764,0.00083764,0.00083764
84,671.894,0.72928,1.55705,1.19319,0.83424,0.92222,0.8657,0.61973,0.97644,2.53931,1.17921,0.00083566,0.00083566,0.00083566
85,679.853,0.74346,1.63658,1.22633,0.87012,0.89654,0.88461,0.65723,0.97082,2.62891,1.21871,0.00083368,0.00083368,0.00083368
86,688,0.74414,1.60322,1.24485,0.87762,0.87136,0.91416,0.66258,0.98098,2.68924,1.24044,0.0008317,0.0008317,0.0008317
87,695.968,0.72017,1.59245,1.20945,0.86855,0.89494,0.91108,0.65989,1.01766,2.54205,1.26926,0.00082972,0.00082972,0.00082972
88,703.853,0.69049,1.46104,1.17311,0.88423,0.89929,0.89267,0.67232,0.94432,2.50255,1.23396,0.00082774,0.00082774,0.00082774
89,711.87,0.68467,1.50656,1.17646,0.89651,0.90751,0.86211,0.67271,0.89834,2.56501,1.19301,0.00082576,0.00082576,0.00082576
90,719.757,0.74261,1.58156,1.23692,0.88208,0.89371,0.86481,0.65854,0.90616,2.57446,1.19578,0.00082378,0.00082378,0.00082378
91,727.658,0.66394,1.41996,1.15583,0.83651,0.8884,0.88408,0.67842,0.97147,2.78138,1.27947,0.0008218,0.0008218,0.0008218
92,735.428,0.72497,1.47331,1.216,0.89159,0.90384,0.91258,0.651,1.03255,2.62947,1.30097,0.00081982,0.00081982,0.00081982
93,743.161,0.68539,1.43572,1.16674,0.87741,0.89444,0.87683,0.61912,1.08589,2.36756,1.28541,0.00081784,0.00081784,0.00081784
94,750.928,0.71886,1.58594,1.20697,0.88612,0.84001,0.89411,0.65656,1.01137,2.29859,1.18949,0.00081586,0.00081586,0.00081586
95,758.52,0.71507,1.45163,1.16114,0.89331,0.87284,0.93246,0.72969,0.92373,2.08924,1.1439,0.00081388,0.00081388,0.00081388
96,766.288,0.73307,1.56299,1.19686,0.86859,0.89906,0.9337,0.69111,0.94368,2.18706,1.1607,0.0008119,0.0008119,0.0008119
