epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7914,1.74218,17.4291,1.84396,0.32774,0.1252,0.11223,0.06979,1.57629,12.5568,1.6668,0.09406,6e-05,6e-05
2,18.0687,1.37156,11.4689,1.61291,0.60097,0.33889,0.34475,0.25048,1.58234,15.0372,1.847,0.0871297,0.000129743,0.000129743
3,24.182,1.06759,5.15557,1.45029,0.56019,0.38889,0.42959,0.26872,1.50196,8.36149,1.81279,0.0801992,0.000199208,0.000199208
4,30.3682,1.03147,4.08137,1.3862,0.54222,0.58964,0.55586,0.35255,1.4229,16.7783,1.74299,0.0732684,0.000268396,0.000268396
5,36.7451,0.98713,3.55932,1.39267,0.44836,0.49598,0.4187,0.29836,1.55043,7.37876,1.56961,0.0663373,0.000337307,0.000337307
6,42.7828,0.97151,3.33832,1.37278,0.52851,0.55627,0.53168,0.37145,1.46667,6.36759,1.49569,0.0594059,0.000405941,0.000405941
7,49.2116,0.94425,3.06827,1.32805,0.65314,0.54167,0.55197,0.37676,1.36613,8.8893,1.65289,0.0524743,0.000474298,0.000474298
