epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3863,1.51739,4.10125,1.62511,0.00466,0.41944,0.03146,0.01961,1.30038,3.53589,1.55789,5e-05,5e-05,5e-05
2,21.8184,1.24341,3.84761,1.51015,0.0106,0.675,0.23007,0.12762,1.14507,3.51249,1.48876,0.000112129,0.000112129,0.000112129
3,27.0708,0.98656,3.19974,1.42769,0.01053,0.64444,0.25512,0.16195,1.12582,3.46646,1.48553,0.000173845,0.000173845,0.000173845
4,32.3255,0.90714,2.45035,1.3458,0.00981,0.51944,0.23543,0.15676,1.11518,3.48087,1.45088,0.000235149,0.000235149,0.000235149
5,38.4115,0.87774,2.12565,1.29729,0.00819,0.44444,0.22621,0.14842,1.19181,3.45559,1.57158,0.00029604,0.00029604,0.00029604
6,44.0457,0.84354,1.94073,1.27491,0.00872,0.52222,0.17145,0.10482,1.2645,3.40497,1.62165,0.000356519,0.000356519,0.000356519
7,50.1223,0.79195,1.80035,1.24782,0.00795,0.57222,0.1759,0.09096,1.15302,3.34113,1.60796,0.000416585,0.000416585,0.000416585
8,55.1912,0.80057,1.76136,1.21614,0.79826,0.13764,0.27866,0.18014,1.1695,3.28618,1.49923,0.000476239,0.000476239,0.000476239
9,59.9722,0.72831,1.6006,1.15619,0.54482,0.16274,0.26874,0.17439,1.11492,3.20126,1.4568,0.00053548,0.00053548,0.00053548
10,64.7513,0.74005,1.61148,1.1584,0.86429,0.15883,0.39934,0.26855,1.23879,3.1014,1.51804,0.000594309,0.000594309,0.000594309
11,69.6102,0.7307,1.58963,1.16902,0.62841,0.25044,0.45004,0.30269,1.29195,2.96161,1.49768,0.000652725,0.000652725,0.000652725
12,74.503,0.66403,1.41479,1.09331,0.57419,0.27901,0.55492,0.3564,1.22414,2.81063,1.55903,0.000710729,0.000710729,0.000710729
13,79.5568,0.6855,1.43656,1.14022,0.50806,0.32849,0.6051,0.41266,1.1892,2.70817,1.48027,0.00076832,0.00076832,0.00076832
14,84.33,0.70892,1.37389,1.14936,0.64627,0.38084,0.62005,0.42045,1.08101,2.70284,1.29154,0.000825499,0.000825499,0.000825499
15,89.1173,0.70493,1.33042,1.13185,0.65189,0.47182,0.6382,0.4096,1.26041,2.52882,1.44754,0.000882265,0.000882265,0.000882265
16,93.9069,0.65496,1.28968,1.10118,0.69416,0.5015,0.62044,0.40822,1.22922,2.50487,1.36473,0.000938619,0.000938619,0.000938619
17,98.9014,0.68348,1.32747,1.1246,0.69776,0.39043,0.6542,0.46643,1.33584,2.56016,1.37061,0.00099456,0.00099456,0.00099456
18,104.053,0.69392,1.35012,1.11217,0.67354,0.50449,0.66009,0.45033,1.33152,2.45864,1.33847,0.00105009,0.00105009,0.00105009
19,109.169,0.70187,1.38578,1.15084,0.60512,0.53288,0.63872,0.41037,1.47442,2.37324,1.43692,0.0011052,0.0011052,0.0011052
20,114.015,0.6618,1.26372,1.09186,0.66355,0.69403,0.73726,0.49818,1.29036,1.94266,1.43549,0.00115991,0.00115991,0.00115991
21,118.851,0.64861,1.25374,1.0802,0.6905,0.71447,0.68519,0.44647,1.28963,2.15525,1.5164,0.0011675,0.0011675,0.0011675
22,123.675,0.68234,1.21215,1.10686,0.63812,0.67158,0.72196,0.49041,1.3572,2.04425,1.56053,0.00116337,0.00116337,0.00116337
23,128.453,0.64415,1.21643,1.07705,0.71975,0.72368,0.7425,0.49025,1.30327,1.79064,1.57533,0.00115925,0.00115925,0.00115925
24,133.351,0.64805,1.2808,1.121,0.76306,0.74981,0.73079,0.47196,1.38525,1.98061,1.59715,0.00115513,0.00115513,0.00115513
25,138.126,0.64756,1.24897,1.11303,0.7249,0.73576,0.70939,0.48075,1.39559,2.10219,1.71098,0.001151,0.001151,0.001151
26,142.916,0.68425,1.29661,1.11365,0.74888,0.79374,0.76363,0.49659,1.28367,1.81058,1.53481,0.00114688,0.00114688,0.00114688
27,147.523,0.64168,1.21396,1.08544,0.68109,0.78065,0.70595,0.47112,1.21859,1.77118,1.46424,0.00114275,0.00114275,0.00114275
28,152.139,0.64582,1.16061,1.07637,0.71807,0.80351,0.75835,0.51319,1.23391,1.58746,1.39759,0.00113863,0.00113863,0.00113863
29,156.942,0.65144,1.09896,1.07303,0.62439,0.83555,0.7875,0.54476,1.17831,1.56932,1.38538,0.0011345,0.0011345,0.0011345
30,162.106,0.65512,1.10811,1.07388,0.6825,0.83117,0.80523,0.54789,1.23405,1.4987,1.31457,0.00113038,0.00113038,0.00113038
31,167.937,0.63487,1.05993,1.06128,0.70737,0.76062,0.77336,0.51245,1.25312,1.50821,1.30848,0.00112625,0.00112625,0.00112625
32,173.279,0.61529,1.04596,1.05483,0.6735,0.76294,0.71734,0.50264,1.1791,1.69856,1.4198,0.00112213,0.00112213,0.00112213
33,179.147,0.64925,1.03532,1.0855,0.64308,0.75138,0.70238,0.47165,1.29774,1.74436,1.38491,0.001118,0.001118,0.001118
34,184.925,0.63278,0.98473,1.06103,0.65936,0.72506,0.71406,0.45786,1.31515,1.5753,1.48353,0.00111388,0.00111388,0.00111388
35,190.395,0.67974,1.07325,1.10052,0.73731,0.81256,0.77078,0.48978,1.254,1.51818,1.3935,0.00110975,0.00110975,0.00110975
36,195.674,0.62604,0.97274,1.07818,0.73903,0.79154,0.83467,0.57813,1.07681,1.34748,1.32221,0.00110563,0.00110563,0.00110563
37,200.841,0.60906,1.06557,1.07392,0.69199,0.86041,0.81995,0.57371,1.08649,1.31059,1.30042,0.0011015,0.0011015,0.0011015
38,205.789,0.61245,0.94877,1.07539,0.68173,0.91007,0.82267,0.56114,1.15504,1.22859,1.32673,0.00109738,0.00109738,0.00109738
39,211.001,0.57001,0.90764,1.05328,0.75446,0.78999,0.81095,0.5636,1.21809,1.22265,1.34425,0.00109325,0.00109325,0.00109325
40,216.166,0.6338,0.99702,1.09312,0.77567,0.77169,0.78579,0.52907,1.1791,1.19445,1.41531,0.00108913,0.00108913,0.00108913
41,221.465,0.67728,1.07049,1.14882,0.77129,0.84444,0.75824,0.52136,1.21243,1.22218,1.45279,0.001085,0.001085,0.001085
42,226.571,0.65975,0.99677,1.10662,0.73913,0.85315,0.75597,0.50427,1.19543,1.16016,1.44306,0.00108088,0.00108088,0.00108088
43,231.669,0.63626,0.97733,1.07378,0.76104,0.84722,0.83819,0.53411,1.25505,1.18449,1.50639,0.00107675,0.00107675,0.00107675
44,236.825,0.59039,0.94432,1.05648,0.82445,0.87222,0.83855,0.56729,1.26751,1.19576,1.43317,0.00107263,0.00107263,0.00107263
45,241.936,0.56912,0.8151,1.01772,0.84367,0.86778,0.79862,0.53986,1.23881,1.06315,1.41187,0.0010685,0.0010685,0.0010685
46,247.727,0.59753,0.87929,1.03857,0.82819,0.87152,0.79011,0.53175,1.28363,1.08778,1.45353,0.00106437,0.00106437,0.00106437
47,253.326,0.58598,0.8852,1.04405,0.83377,0.80563,0.78088,0.50638,1.37879,1.16246,1.48558,0.00106025,0.00106025,0.00106025
48,258.959,0.58398,0.8266,1.03066,0.89081,0.77774,0.79499,0.51866,1.28831,1.23866,1.39175,0.00105612,0.00105612,0.00105612
