epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24087,1.22394,3.42876,1.34089,0.00603,0.48889,0.03641,0.02057,0.90366,3.41989,1.18298,5e-05,5e-05,5e-05
2,10.574,1.02177,3.2961,1.25978,0.00635,0.46389,0.1759,0.10794,0.86745,3.42214,1.08354,0.000111386,0.000111386,0.000111386
3,13.2001,0.7467,2.81768,1.14537,0.0108,0.46389,0.31332,0.18866,0.83644,3.39851,1.01501,0.000171535,0.000171535,0.000171535
4,15.7935,0.71098,2.10383,1.10295,0.01562,0.46389,0.31427,0.20092,0.80219,3.28066,0.97418,0.000230446,0.000230446,0.000230446
5,18.2667,0.66956,1.62663,1.08087,0.02134,0.43611,0.28549,0.20318,0.86197,3.20431,1.06994,0.00028812,0.00028812,0.00028812
6,20.6341,0.63467,1.44678,1.03081,0.03356,0.46111,0.28869,0.21031,0.89048,3.23018,1.08313,0.000344556,0.000344556,0.000344556
7,22.9745,0.6578,1.26895,1.06639,1,0.16288,0.28838,0.2288,0.90624,3.19569,1.10622,0.000399755,0.000399755,0.000399755
8,25.3967,0.61589,1.09322,1.03038,0.9824,0.2,0.29828,0.24435,0.91329,3.03094,1.09825,0.000453716,0.000453716,0.000453716
9,27.7283,0.6107,1.15733,1.05968,1,0.21364,0.36907,0.28616,0.96329,2.73096,1.04473,0.00050644,0.00050644,0.00050644
10,30.169,0.6057,1.02941,1.04679,0.95448,0.22463,0.37461,0.29448,0.94403,2.61645,1.01468,0.000557926,0.000557926,0.000557926
11,32.5078,0.6012,0.95259,1.03091,0.95148,0.225,0.52076,0.37933,0.99925,2.56362,1.10176,0.000608175,0.000608175,0.000608175
12,34.8544,0.58517,1.02276,1.03245,0.85509,0.28056,0.61974,0.4403,1.13187,2.51192,1.16674,0.000657186,0.000657186,0.000657186
13,37.2656,0.5888,1.00036,1.01667,0.82424,0.28056,0.64786,0.45425,1.08053,2.71609,1.1329,0.00070496,0.00070496,0.00070496
14,39.5345,0.56237,0.96297,1.02805,0.72307,0.30422,0.72787,0.52255,1.02743,2.4094,1.22893,0.000751496,0.000751496,0.000751496
15,41.8683,0.58536,0.92055,1.04404,0.74836,0.34779,0.81064,0.5953,0.9922,2.23107,1.18518,0.000796795,0.000796795,0.000796795
16,44.1674,0.59092,0.84855,0.99661,0.72742,0.42565,0.78931,0.58283,1.07167,2.23667,1.2221,0.000840856,0.000840856,0.000840856
17,46.4843,0.59649,0.89737,1.00586,0.61263,0.49608,0.74138,0.53479,1.02912,2.24627,1.13998,0.00088368,0.00088368,0.00088368
18,48.7491,0.57434,0.86603,0.99218,0.72326,0.50568,0.78849,0.57145,0.9549,2.08019,1.13133,0.000925266,0.000925266,0.000925266
19,51.0601,0.59261,0.95524,1.03902,0.67032,0.64179,0.77683,0.59168,0.90638,1.91535,1.13638,0.000965615,0.000965615,0.000965615
20,53.337,0.56132,0.80513,0.98055,0.69437,0.85196,0.91209,0.69628,0.91922,1.69026,1.0887,0.00100473,0.00100473,0.00100473
