epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.152,1.77892,18.2296,1.8901,0.35653,0.08056,0.09376,0.05256,1.59849,12.4706,1.70796,0.09604,4e-05,4e-05
2,15.8653,1.72969,18.2332,1.84721,0.32994,0.13459,0.1244,0.07766,1.56698,12.8319,1.61809,0.0910898,8.98218e-05,8.98218e-05
3,21.673,1.32307,8.71066,1.58024,0.60255,0.24167,0.28412,0.18732,1.50284,10.1661,1.90682,0.0861394,0.000139446,0.000139446
4,27.9472,1.05436,4.49974,1.40362,0.44359,0.41657,0.43516,0.29341,1.67969,6.89975,1.95349,0.0811889,0.000188871,0.000188871
5,34.3103,1.02335,3.58066,1.421,0.45744,0.41667,0.39229,0.22779,1.56406,6.75112,1.8415,0.0762381,0.000238099,0.000238099
6,40.2091,0.90556,2.92771,1.32107,0.55955,0.47222,0.55313,0.33383,1.51818,5.55301,1.74334,0.0712871,0.000287129,0.000287129
7,46.3625,0.90586,3.00601,1.3291,0.73696,0.65907,0.68534,0.44014,1.34881,5.42918,1.6505,0.066336,0.000335961,0.000335961
8,52.6583,0.97037,2.737,1.36409,0.67288,0.82222,0.72364,0.4517,1.36404,4.55352,1.64132,0.0613846,0.000384595,0.000384595
9,58.697,0.88899,2.59332,1.29099,0.8378,0.50006,0.61119,0.37369,1.56257,6.24634,1.73714,0.056433,0.00043303,0.00043303
