epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73806,1.22341,3.43717,1.34109,0.00604,0.50833,0.06516,0.04186,0.90384,3.41889,1.18271,5e-05,5e-05,5e-05
2,10.0716,1.02114,3.29925,1.25843,0.00634,0.48333,0.18192,0.11689,0.86382,3.42334,1.08637,0.000111386,0.000111386,0.000111386
3,12.5016,0.74578,2.8299,1.14532,0.01135,0.50833,0.31233,0.17813,0.84331,3.42623,1.04184,0.000171535,0.000171535,0.000171535
4,14.6504,0.70859,2.17495,1.10322,0.01533,0.48333,0.30104,0.18515,0.81739,3.29576,0.97347,0.000230446,0.000230446,0.000230446
5,16.7499,0.6768,1.70927,1.06936,0.02502,0.50833,0.32543,0.23524,0.79974,3.23588,1.0632,0.00028812,0.00028812,0.00028812
6,18.841,0.64229,1.51901,1.02634,0.04352,0.45208,0.31413,0.22929,0.88312,3.248,1.12304,0.000344556,0.000344556,0.000344556
7,20.96,0.64891,1.32202,1.05883,0.96242,0.17653,0.32531,0.26363,0.91281,3.01471,1.10146,0.000399755,0.000399755,0.000399755
8,23.1578,0.60465,1.26715,1.03048,0.96627,0.125,0.36308,0.27731,0.97475,2.98429,1.11776,0.000453716,0.000453716,0.000453716
9,25.2231,0.59313,1.24024,1.03796,0.84412,0.20625,0.37063,0.246,1.03843,2.80492,1.14086,0.00050644,0.00050644,0.00050644
10,27.4663,0.59754,1.11314,1.0316,0.95246,0.29974,0.38703,0.27983,0.92375,2.71535,1.0552,0.000557926,0.000557926,0.000557926
11,29.6214,0.62052,0.99536,1.03281,0.94382,0.3125,0.44946,0.33889,0.89674,2.63751,1.02691,0.000608175,0.000608175,0.000608175
12,31.7426,0.58524,1.04206,1.01677,0.802,0.3125,0.50279,0.40441,0.93647,2.33458,1.03068,0.000657186,0.000657186,0.000657186
13,34.0062,0.58874,1.01282,1.03143,0.9165,0.28125,0.4704,0.36439,0.9782,2.30442,1.07676,0.00070496,0.00070496,0.00070496
14,36.107,0.58687,0.98186,1.03539,0.85156,0.33674,0.46558,0.34743,0.88633,2.36577,1.00419,0.000751496,0.000751496,0.000751496
15,38.2585,0.5785,0.92477,1.0289,0.8121,0.37601,0.52033,0.38731,0.91175,2.40298,1.06779,0.000796795,0.000796795,0.000796795
16,40.3551,0.58542,0.91688,0.9942,0.72246,0.40624,0.48642,0.34184,1.02757,2.43484,1.17266,0.000840856,0.000840856,0.000840856
17,42.4781,0.60733,1.01241,1.01123,0.87192,0.30662,0.5004,0.35791,1.05187,2.49575,1.19095,0.00088368,0.00088368,0.00088368
18,44.5552,0.57232,0.91903,1.00513,0.63281,0.40932,0.5924,0.42006,1.03125,2.40357,1.16399,0.000925266,0.000925266,0.000925266
19,46.5952,0.58999,1.06956,1.0324,0.52549,0.44431,0.57642,0.40957,1.0124,2.32937,1.16091,0.000965615,0.000965615,0.000965615
20,48.6848,0.56015,0.87925,0.98672,0.56635,0.53353,0.59803,0.41494,1.03515,2.16071,1.16276,0.00100473,0.00100473,0.00100473
21,50.8147,0.56476,0.94297,1.03069,0.64936,0.60837,0.67456,0.45559,1.02374,2.01997,1.16575,0.0010025,0.0010025,0.0010025
22,52.9377,0.55577,0.88046,0.98652,0.65868,0.64776,0.69286,0.47521,1.00941,1.95443,1.16437,0.000990125,0.000990125,0.000990125
23,55.0287,0.56715,0.90859,1.01701,0.5822,0.6304,0.68433,0.49521,0.97737,1.9263,1.163,0.00097775,0.00097775,0.00097775
24,57.0972,0.54893,0.87431,0.98311,0.63617,0.55989,0.63141,0.47487,0.92324,1.8257,1.04488,0.000965375,0.000965375,0.000965375
25,59.3189,0.52659,0.82076,0.98481,0.57115,0.57334,0.61105,0.45157,0.94754,1.83408,1.02252,0.000953,0.000953,0.000953
26,61.3603,0.54032,0.85853,1.00472,0.63919,0.57037,0.62483,0.44643,0.96354,1.90807,1.03828,0.000940625,0.000940625,0.000940625
27,63.4156,0.52887,0.85394,0.97916,0.64623,0.62528,0.64672,0.45871,0.92626,1.91671,1.02838,0.00092825,0.00092825,0.00092825
28,65.4543,0.53693,0.87083,0.98581,0.5694,0.66234,0.67295,0.49928,0.82543,1.79472,0.96043,0.000915875,0.000915875,0.000915875
29,67.5917,0.53354,0.78541,0.99022,0.66808,0.62227,0.66363,0.50725,0.83077,1.68958,0.9655,0.0009035,0.0009035,0.0009035
30,69.6518,0.53594,0.83832,0.98743,0.68754,0.66271,0.66133,0.48373,0.9277,1.71776,1.03456,0.000891125,0.000891125,0.000891125
31,71.7299,0.54204,0.82518,0.99875,0.66359,0.63408,0.63832,0.43264,1.00159,1.78754,1.09489,0.00087875,0.00087875,0.00087875
32,73.8041,0.52145,0.81975,1.00731,0.65152,0.69024,0.67085,0.47838,0.98616,1.68999,1.1642,0.000866375,0.000866375,0.000866375
33,75.9135,0.50138,0.87227,0.98898,0.65143,0.70959,0.67983,0.50259,0.98819,1.70765,1.12715,0.000854,0.000854,0.000854
34,78.0207,0.50219,0.84314,0.98897,0.68364,0.69954,0.6708,0.47025,1.00819,1.69351,1.10503,0.000841625,0.000841625,0.000841625
35,80.0588,0.47725,0.73488,0.95699,0.66903,0.70653,0.66159,0.47571,1.00498,1.66972,1.07111,0.00082925,0.00082925,0.00082925
36,82.1291,0.49565,0.70343,0.94535,0.60192,0.70908,0.6287,0.44781,0.9633,1.66532,1.03732,0.000816875,0.000816875,0.000816875
37,84.1599,0.49149,0.75741,0.97652,0.66501,0.66044,0.64209,0.45997,0.95771,1.61265,1.01657,0.0008045,0.0008045,0.0008045
38,86.2334,0.52688,0.73463,0.95948,0.64632,0.68333,0.66694,0.48982,0.93924,1.62705,0.99469,0.000792125,0.000792125,0.000792125
39,88.3764,0.49998,0.75866,0.98166,0.66024,0.68186,0.66091,0.47669,0.93012,1.62303,0.99007,0.00077975,0.00077975,0.00077975
40,90.4673,0.47951,0.68716,0.9424,0.72247,0.6799,0.65299,0.46574,0.94593,1.64202,1.0238,0.000767375,0.000767375,0.000767375
41,92.6392,0.48832,0.71637,0.95299,0.68973,0.71458,0.65974,0.48889,0.89035,1.62261,0.99684,0.000755,0.000755,0.000755
42,94.6988,0.5159,0.69175,0.9816,0.70092,0.73958,0.65475,0.47984,0.88871,1.57259,0.99401,0.000742625,0.000742625,0.000742625
43,96.7597,0.48841,0.75201,0.96737,0.72282,0.73387,0.65941,0.48097,0.92082,1.50938,1.01536,0.00073025,0.00073025,0.00073025
44,98.9078,0.49749,0.70737,0.97914,0.69869,0.73002,0.65549,0.45275,0.94346,1.45711,1.02505,0.000717875,0.000717875,0.000717875
45,101.016,0.48137,0.75785,0.97008,0.73713,0.68864,0.65676,0.47716,0.90665,1.44218,1.00524,0.0007055,0.0007055,0.0007055
46,103.376,0.4509,0.69428,0.94078,0.68985,0.73029,0.68162,0.50992,0.87672,1.47003,0.99905,0.000693125,0.000693125,0.000693125
47,105.494,0.459,0.6275,0.94161,0.69376,0.68333,0.69968,0.51875,0.89864,1.54813,1.00037,0.00068075,0.00068075,0.00068075
48,107.669,0.45689,0.65752,0.93571,0.72624,0.66225,0.70949,0.53002,0.94487,1.51256,1.02268,0.000668375,0.000668375,0.000668375
49,109.768,0.4478,0.65079,0.94938,0.70733,0.63602,0.68758,0.50818,0.94988,1.50935,1.03501,0.000656,0.000656,0.000656
50,111.927,0.4369,0.63322,0.95303,0.7119,0.63407,0.65981,0.47843,0.98509,1.5063,1.09294,0.000643625,0.000643625,0.000643625
51,113.977,0.44377,0.65225,0.94963,0.70118,0.63054,0.64365,0.45657,0.9819,1.52994,1.09557,0.00063125,0.00063125,0.00063125
52,116.062,0.46564,0.65295,0.92559,0.62042,0.73958,0.63034,0.45255,0.94945,1.65424,1.02861,0.000618875,0.000618875,0.000618875
53,118.157,0.42165,0.68152,0.93501,0.64542,0.73958,0.63626,0.45608,0.92639,1.6476,1.01021,0.0006065,0.0006065,0.0006065
54,120.214,0.4419,0.67384,0.93393,0.67805,0.70978,0.65506,0.45036,0.95324,1.62024,1.02588,0.000594125,0.000594125,0.000594125
55,122.259,0.4373,0.60288,0.92677,0.6804,0.698,0.66772,0.46996,0.96267,1.59006,1.04286,0.00058175,0.00058175,0.00058175
56,124.354,0.45949,0.626,0.9284,0.73953,0.64575,0.64858,0.46707,0.9504,1.51588,1.07921,0.000569375,0.000569375,0.000569375
57,126.419,0.42275,0.6476,0.95159,0.71641,0.68264,0.64895,0.47238,0.97288,1.50153,1.09633,0.000557,0.000557,0.000557
58,128.466,0.38977,0.59733,0.90309,0.71498,0.68694,0.65181,0.46679,0.98095,1.52848,1.09562,0.000544625,0.000544625,0.000544625
59,130.509,0.40748,0.57998,0.93967,0.69193,0.7203,0.65672,0.48084,0.98312,1.52512,1.08825,0.00053225,0.00053225,0.00053225
60,132.607,0.42278,0.59565,0.93001,0.70167,0.72538,0.65218,0.48319,0.95692,1.53042,1.04435,0.000519875,0.000519875,0.000519875
61,134.684,0.40965,0.57902,0.92463,0.72603,0.7365,0.64591,0.48281,0.95819,1.49849,1.05491,0.0005075,0.0005075,0.0005075
62,136.725,0.41453,0.58919,0.93974,0.72021,0.70387,0.63644,0.48824,0.94552,1.47272,1.03417,0.000495125,0.000495125,0.000495125
63,138.774,0.43499,0.62534,0.93392,0.67171,0.73958,0.64699,0.49904,0.9064,1.47543,0.99567,0.00048275,0.00048275,0.00048275
64,140.916,0.40397,0.57522,0.92167,0.6836,0.70467,0.63426,0.48638,0.86496,1.48257,0.95986,0.000470375,0.000470375,0.000470375
65,142.955,0.40232,0.57484,0.91293,0.71135,0.70816,0.64151,0.49143,0.86298,1.48585,0.96529,0.000458,0.000458,0.000458
66,144.99,0.40243,0.57083,0.91652,0.72855,0.70087,0.64378,0.49698,0.84024,1.46177,0.9594,0.000445625,0.000445625,0.000445625
67,147.054,0.40082,0.54351,0.90628,0.73155,0.70032,0.64538,0.4935,0.84606,1.44095,0.96096,0.00043325,0.00043325,0.00043325
68,149.287,0.37824,0.50801,0.90855,0.75423,0.6967,0.6641,0.49958,0.87552,1.45696,0.95724,0.000420875,0.000420875,0.000420875
69,151.384,0.40548,0.53663,0.88922,0.74935,0.69995,0.66255,0.49851,0.87063,1.45513,0.96246,0.0004085,0.0004085,0.0004085
70,153.656,0.38493,0.52223,0.91923,0.75522,0.69756,0.66186,0.50827,0.86133,1.47239,0.96422,0.000396125,0.000396125,0.000396125
71,155.9,0.40158,0.57412,0.92836,0.75416,0.70031,0.66189,0.50994,0.84941,1.46581,0.96304,0.00038375,0.00038375,0.00038375
72,158.052,0.40812,0.59179,0.92725,0.7063,0.71277,0.6559,0.49596,0.84515,1.39612,0.96457,0.000371375,0.000371375,0.000371375
73,160.233,0.42643,0.63124,0.96666,0.71016,0.71671,0.64368,0.4848,0.86443,1.36976,0.9685,0.000359,0.000359,0.000359
74,162.422,0.36735,0.55196,0.94296,0.70953,0.72733,0.63972,0.4822,0.8664,1.36955,0.9629,0.000346625,0.000346625,0.000346625
75,164.625,0.39445,0.54568,0.90916,0.70519,0.73403,0.64911,0.49495,0.8558,1.40107,0.955,0.00033425,0.00033425,0.00033425
76,166.882,0.36519,0.48998,0.92989,0.77382,0.68333,0.63889,0.51308,0.81279,1.40166,0.93996,0.000321875,0.000321875,0.000321875
77,169.157,0.3883,0.52603,0.93486,0.7671,0.67696,0.63902,0.51071,0.82268,1.41874,0.93975,0.0003095,0.0003095,0.0003095
78,171.304,0.35915,0.49244,0.91229,0.69889,0.71164,0.63848,0.50254,0.8511,1.47015,0.94011,0.000297125,0.000297125,0.000297125
79,173.437,0.36563,0.51506,0.92115,0.70034,0.71458,0.64881,0.50598,0.86072,1.485,0.93884,0.00028475,0.00028475,0.00028475
80,175.666,0.38323,0.53285,0.92034,0.71128,0.69776,0.65917,0.49959,0.85889,1.50478,0.93811,0.000272375,0.000272375,0.000272375
81,177.892,0.35436,0.49064,0.90036,0.7152,0.70211,0.64557,0.49292,0.85066,1.50487,0.93683,0.00026,0.00026,0.00026
82,179.998,0.36008,0.50033,0.90139,0.68744,0.71602,0.6462,0.49709,0.84576,1.47739,0.93647,0.000247625,0.000247625,0.000247625
83,182.154,0.3729,0.4845,0.93699,0.68411,0.72218,0.64875,0.50646,0.83626,1.45894,0.93292,0.00023525,0.00023525,0.00023525
84,184.238,0.36824,0.52601,0.93764,0.6867,0.73873,0.65185,0.50501,0.83415,1.40484,0.93304,0.000222875,0.000222875,0.000222875
85,186.55,0.36956,0.47703,0.90619,0.69137,0.73496,0.65002,0.49464,0.84098,1.39246,0.93332,0.0002105,0.0002105,0.0002105
86,188.596,0.33452,0.51602,0.91455,0.69919,0.73658,0.64941,0.49766,0.8477,1.38171,0.93145,0.000198125,0.000198125,0.000198125
87,190.685,0.34622,0.47848,0.9208,0.73206,0.73134,0.6449,0.49396,0.85089,1.38895,0.93338,0.00018575,0.00018575,0.00018575
88,192.842,0.35723,0.5278,0.93002,0.73323,0.73958,0.64854,0.49971,0.84283,1.40948,0.9331,0.000173375,0.000173375,0.000173375
89,195.002,0.34774,0.47883,0.90583,0.73025,0.73958,0.64448,0.50221,0.84979,1.39979,0.93783,0.000161,0.000161,0.000161
90,197.164,0.33147,0.50628,0.91545,0.73051,0.73958,0.65027,0.49968,0.84745,1.38663,0.93968,0.000148625,0.000148625,0.000148625
91,199.283,0.38964,0.69291,0.90591,0.72872,0.73958,0.64972,0.49607,0.84272,1.37073,0.93966,0.00013625,0.00013625,0.00013625
92,201.333,0.36888,0.65977,0.89403,0.71685,0.73958,0.65942,0.51178,0.83723,1.34111,0.92835,0.000123875,0.000123875,0.000123875
93,203.326,0.36337,0.58083,0.84713,0.70845,0.73958,0.65227,0.50733,0.82951,1.32592,0.9194,0.0001115,0.0001115,0.0001115
94,205.362,0.33867,0.55756,0.84735,0.70115,0.73958,0.6518,0.50828,0.83003,1.31294,0.91806,9.9125e-05,9.9125e-05,9.9125e-05
95,207.362,0.36891,0.57314,0.91768,0.68257,0.73958,0.63859,0.49114,0.83074,1.3278,0.91496,8.675e-05,8.675e-05,8.675e-05
96,209.419,0.35829,0.55366,0.88513,0.70319,0.73668,0.64447,0.50671,0.8234,1.34217,0.91003,7.4375e-05,7.4375e-05,7.4375e-05
97,211.511,0.35125,0.54955,0.85772,0.67994,0.73958,0.64245,0.50134,0.82031,1.34551,0.90589,6.2e-05,6.2e-05,6.2e-05
98,213.595,0.32892,0.54603,0.87018,0.69321,0.73958,0.64332,0.50444,0.81933,1.34105,0.904,4.9625e-05,4.9625e-05,4.9625e-05
99,215.669,0.34808,0.54199,0.90084,0.69919,0.73958,0.64424,0.50352,0.82071,1.33927,0.90208,3.725e-05,3.725e-05,3.725e-05
100,217.684,0.34766,0.56156,0.88415,0.70728,0.73958,0.64549,0.50352,0.82137,1.34352,0.90087,2.4875e-05,2.4875e-05,2.4875e-05
