epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87614,1.22801,3.51607,1.31827,0.00653,0.53958,0.10973,0.07895,0.9238,3.40228,1.20696,3.75e-05,3.75e-05,3.75e-05
2,7.83568,1.1349,3.45928,1.29323,0.00595,0.49792,0.13448,0.08132,0.83563,3.41213,1.13421,8.66338e-05,8.66338e-05,8.66338e-05
3,9.67531,0.85151,3.15179,1.19086,0.00756,0.52917,0.24531,0.15268,0.81995,3.43328,1.06105,0.000134777,0.000134777,0.000134777
4,11.4984,0.7875,2.54903,1.1414,0.01101,0.51458,0.19424,0.13302,0.88157,3.38995,1.07487,0.000181931,0.000181931,0.000181931
5,13.2643,0.71867,1.84958,1.05611,0.01264,0.48958,0.20261,0.14307,0.8429,3.31521,1.05734,0.000228095,0.000228095,0.000228095
6,15.0539,0.72999,1.70584,1.08062,0.01856,0.48958,0.25057,0.16726,0.82782,3.2818,1.03224,0.000273269,0.000273269,0.000273269
7,16.8353,0.65761,1.28649,1.08035,0.02495,0.48958,0.29908,0.20884,0.83261,3.27121,0.98837,0.000317452,0.000317452,0.000317452
8,18.6807,0.7643,1.41627,1.13487,0.96656,0.175,0.26744,0.20432,0.85315,3.07284,1.00385,0.000360646,0.000360646,0.000360646
9,20.4775,0.69811,1.23181,1.0356,1,0.1727,0.29498,0.22478,0.90195,2.99105,1.04421,0.00040285,0.00040285,0.00040285
10,22.3857,0.62729,1.07842,0.98459,0.94408,0.15,0.2513,0.17967,0.97253,3.12089,1.14006,0.000444064,0.000444064,0.000444064
11,24.211,0.55068,1.00499,0.98282,0.98916,0.2,0.26924,0.19922,0.96163,2.92637,1.1792,0.000484288,0.000484288,0.000484288
12,26.0905,0.61106,0.92368,0.98423,1,0.24894,0.29165,0.18687,0.97619,2.82592,1.17111,0.000523521,0.000523521,0.000523521
13,28.0714,0.60983,1.15194,1.01256,1,0.23836,0.27461,0.19259,1.00754,2.95681,1.13561,0.000561765,0.000561765,0.000561765
14,30.1999,0.62128,1.01135,0.96024,0.94043,0.24026,0.24702,0.15474,1.01722,3.06497,1.18215,0.000599019,0.000599019,0.000599019
15,32.3761,0.56565,0.92532,0.96122,0.99562,0.175,0.30338,0.19942,1.02612,2.96094,1.22785,0.000635282,0.000635282,0.000635282
16,34.3348,0.5865,0.84944,0.99395,0.96792,0.2,0.31055,0.21068,0.97085,2.85673,1.1746,0.000670556,0.000670556,0.000670556
17,36.1795,0.80839,1.21963,1.21564,0.95724,0.25,0.35169,0.25674,0.93272,2.76857,1.10182,0.00070484,0.00070484,0.00070484
18,38.0375,0.56939,0.87517,0.96449,0.95052,0.225,0.42918,0.27778,1.05575,2.87509,1.16533,0.000738134,0.000738134,0.000738134
19,39.861,0.55911,0.83008,0.9305,0.94549,0.2,0.41931,0.25877,1.10073,2.81858,1.17877,0.000770438,0.000770438,0.000770438
20,41.8912,0.58649,0.96013,1.00323,0.44166,0.29167,0.45882,0.28181,1.10552,2.64071,1.17687,0.000801751,0.000801751,0.000801751
21,43.9195,0.59812,0.95963,0.97557,0.59986,0.40643,0.4801,0.33068,1.0605,2.46544,1.17939,0.000832075,0.000832075,0.000832075
22,45.7243,0.63262,0.89191,0.93883,0.62449,0.46668,0.4866,0.33603,1.09296,2.29938,1.24043,0.000861409,0.000861409,0.000861409
23,47.4595,0.63536,0.89491,0.98655,0.40399,0.47439,0.50943,0.31019,1.14524,2.27664,1.28007,0.000889753,0.000889753,0.000889753
