epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3442,1.46325,4.04129,1.58279,0.00455,0.41944,0.03399,0.02263,1.29414,3.54412,1.58091,2.5e-05,2.5e-05,2.5e-05
2,15.7286,1.52112,4.16021,1.67723,0.00468,0.41944,0.03389,0.0216,1.30281,3.53899,1.54819,6.23763e-05,6.23763e-05,6.23763e-05
3,20.0958,1.25989,3.89216,1.50622,0.00984,0.675,0.18626,0.10986,1.06493,3.49816,1.45429,9.9604e-05,9.9604e-05,9.9604e-05
4,24.676,0.94834,3.36969,1.37376,0.0141,0.725,0.29731,0.19751,1.11234,3.47057,1.3977,0.000136683,0.000136683,0.000136683
5,29.2889,0.89782,2.6817,1.33129,0.01108,0.625,0.2675,0.1786,1.1174,3.44681,1.4849,0.000173614,0.000173614,0.000173614
6,33.8838,0.85158,2.2487,1.30777,0.0086,0.54722,0.23719,0.15703,1.1006,3.38096,1.54308,0.000210396,0.000210396,0.000210396
7,38.5006,0.79357,2.09296,1.27811,0.01246,0.57222,0.23933,0.16493,1.25168,3.40906,1.62262,0.00024703,0.00024703,0.00024703
8,43.0514,0.80424,1.92641,1.24171,0.00996,0.62222,0.24566,0.14338,1.29554,3.44094,1.5422,0.000283515,0.000283515,0.000283515
9,47.5631,0.75816,1.69224,1.19371,0.00963,0.675,0.29625,0.19576,1.20975,3.4034,1.53123,0.000319852,0.000319852,0.000319852
10,52.1429,0.71346,1.67525,1.17554,0.00889,0.675,0.26692,0.17739,1.12509,3.34899,1.52355,0.00035604,0.00035604,0.00035604
11,56.6556,0.74325,1.61596,1.17691,0.00866,0.7,0.29363,0.16748,1.12651,3.30513,1.40859,0.00039208,0.00039208,0.00039208
