epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16642,1.21494,3.4377,1.34065,0.00616,0.49792,0.11173,0.07738,0.89948,3.41962,1.18195,5e-05,5e-05,5e-05
2,10.673,0.98603,3.28079,1.2373,0.00706,0.47292,0.20492,0.13542,0.87947,3.43547,1.1066,0.000111386,0.000111386,0.000111386
3,12.8674,0.72082,2.77346,1.12383,0.01006,0.47292,0.3038,0.19621,0.83836,3.3735,1.00061,0.000171535,0.000171535,0.000171535
4,15.0386,0.70369,2.03742,1.08907,0.01135,0.48958,0.29167,0.19867,0.82294,3.23679,0.96947,0.000230446,0.000230446,0.000230446
5,17.2202,0.66862,1.59168,1.0576,0.01713,0.54167,0.376,0.28016,0.79799,3.14565,1.00263,0.00028812,0.00028812,0.00028812
6,19.3646,0.63389,1.36368,1.02498,0.03002,0.56667,0.3089,0.23652,0.86618,3.16159,1.02645,0.000344556,0.000344556,0.000344556
7,21.5433,0.64627,1.18917,1.04316,0.96646,0.175,0.35969,0.24449,0.85243,3.05531,1.07038,0.000399755,0.000399755,0.000399755
8,23.8863,0.6313,1.0937,1.04754,0.94032,0.225,0.31489,0.2483,0.88415,2.93485,1.03609,0.000453716,0.000453716,0.000453716
9,25.994,0.62057,1.14539,1.0619,0.97066,0.2,0.40394,0.30088,1.01885,2.71597,1.1158,0.00050644,0.00050644,0.00050644
10,28.2657,0.58946,1.03104,1.03332,0.89267,0.25,0.59528,0.46692,0.97834,2.63382,1.10689,0.000557926,0.000557926,0.000557926
11,30.5339,0.61008,0.96737,1.03774,0.92781,0.32481,0.65892,0.52351,0.90782,2.48297,1.11105,0.000608175,0.000608175,0.000608175
12,32.7566,0.58507,1.00223,1.0252,0.83931,0.3344,0.67256,0.50349,1.02393,2.32711,1.19698,0.000657186,0.000657186,0.000657186
13,35.0264,0.58178,0.99165,1.02021,0.96989,0.25,0.75838,0.52492,1.1495,2.45906,1.24721,0.00070496,0.00070496,0.00070496
14,37.1513,0.58634,0.94558,1.03165,0.82991,0.41388,0.8564,0.59065,1.13876,2.23672,1.23214,0.000751496,0.000751496,0.000751496
15,39.3952,0.60291,0.96279,1.05026,0.80536,0.4375,0.8711,0.64885,0.99417,2.07447,1.12765,0.000796795,0.000796795,0.000796795
16,41.5995,0.61629,0.90721,1.01395,0.83075,0.45156,0.86963,0.63288,1.02093,2.01891,1.16356,0.000840856,0.000840856,0.000840856
17,43.7476,0.58334,0.90653,0.99653,0.82586,0.53981,0.89861,0.67691,0.98706,1.94806,1.13762,0.00088368,0.00088368,0.00088368
18,45.9641,0.54981,0.841,0.99156,0.74307,0.649,0.91007,0.68334,0.9706,1.77535,1.18393,0.000925266,0.000925266,0.000925266
19,48.1614,0.59247,0.96092,1.03586,0.7536,0.65403,0.90215,0.67603,0.92615,1.7459,1.18015,0.000965615,0.000965615,0.000965615
20,50.3486,0.55338,0.83424,0.97999,0.7787,0.78102,0.92016,0.67525,0.95562,1.80745,1.17048,0.00100473,0.00100473,0.00100473
21,52.5632,0.53547,0.84683,1.012,0.803,0.80019,0.91149,0.67542,0.93105,1.58305,1.14378,0.0010025,0.0010025,0.0010025
22,54.8614,0.53237,0.8236,0.98622,0.84861,0.80511,0.91582,0.71135,0.86958,1.29984,1.1083,0.000990125,0.000990125,0.000990125
23,57.0923,0.56233,0.83261,1.00936,0.92555,0.80244,0.93693,0.70269,0.91136,1.15205,1.12477,0.00097775,0.00097775,0.00097775
24,59.2786,0.58542,0.8195,0.99751,0.95619,0.82005,0.94154,0.73771,0.8797,1.07846,1.12484,0.000965375,0.000965375,0.000965375
25,61.6529,0.53254,0.77577,0.9985,0.89139,0.82034,0.94936,0.74511,0.86181,1.10335,1.13129,0.000953,0.000953,0.000953
26,63.8397,0.52929,0.79914,1.00332,0.79674,0.90179,0.95391,0.74092,0.89442,1.14842,1.15028,0.000940625,0.000940625,0.000940625
27,66.0388,0.51229,0.7854,0.96992,0.7949,0.93709,0.94822,0.73164,0.91179,1.18521,1.12236,0.00092825,0.00092825,0.00092825
28,68.3083,0.54246,0.77448,0.97671,0.85253,0.88595,0.93877,0.71896,0.90775,1.129,1.08719,0.000915875,0.000915875,0.000915875
29,70.5716,0.53124,0.74674,0.98883,0.88324,0.83918,0.92319,0.72408,0.86116,1.0717,1.04229,0.0009035,0.0009035,0.0009035
30,72.6876,0.55041,0.77466,0.98655,0.88075,0.85356,0.925,0.74416,0.87758,1.06152,1.02105,0.000891125,0.000891125,0.000891125
31,74.7994,0.51674,0.77434,0.9846,0.90373,0.88524,0.93254,0.72692,0.87111,1.0177,0.97192,0.00087875,0.00087875,0.00087875
32,76.9749,0.50649,0.77055,0.9958,0.89115,0.93333,0.94985,0.71888,0.92763,0.94728,1.03498,0.000866375,0.000866375,0.000866375
33,79.0975,0.48329,0.76522,0.97904,0.95796,0.92291,0.95384,0.72084,0.97186,0.91796,1.09824,0.000854,0.000854,0.000854
34,81.2756,0.47939,0.70719,0.97222,0.94432,0.94528,0.96167,0.70928,0.97346,0.93543,1.1338,0.000841625,0.000841625,0.000841625
35,83.3987,0.47343,0.71251,0.95715,0.91499,0.94834,0.9613,0.70755,0.97125,0.92632,1.11974,0.00082925,0.00082925,0.00082925
36,85.64,0.49035,0.64966,0.95104,0.93053,0.94034,0.96495,0.70148,1.02436,0.85435,1.10934,0.000816875,0.000816875,0.000816875
37,87.7913,0.49168,0.68438,0.97511,0.93133,0.93333,0.96197,0.71525,1.02785,0.84958,1.09562,0.0008045,0.0008045,0.0008045
38,89.9127,0.51421,0.67363,0.95316,0.90842,0.93333,0.95639,0.69278,1.01495,0.87715,1.06758,0.000792125,0.000792125,0.000792125
39,92.0614,0.48678,0.67692,0.97706,0.91486,0.92958,0.95055,0.71725,0.97265,0.8462,1.04385,0.00077975,0.00077975,0.00077975
40,94.1933,0.4863,0.6351,0.9434,0.91571,0.92708,0.96273,0.72642,0.97556,0.79202,1.04914,0.000767375,0.000767375,0.000767375
41,96.4972,0.48979,0.67521,0.95382,0.911,0.92085,0.9643,0.72138,0.96587,0.74909,1.05017,0.000755,0.000755,0.000755
42,98.9673,0.48147,0.64323,0.96217,0.8687,0.95833,0.96367,0.73071,0.95513,0.75007,1.05186,0.000742625,0.000742625,0.000742625
43,101.142,0.47957,0.65263,0.95984,0.97803,0.88118,0.95924,0.728,0.98542,0.77527,1.06917,0.00073025,0.00073025,0.00073025
44,103.487,0.51868,0.67583,1.00173,0.88334,0.90833,0.94504,0.71048,0.97243,0.7891,1.06785,0.000717875,0.000717875,0.000717875
45,105.741,0.46483,0.66334,0.96393,0.84969,0.95833,0.94248,0.69027,0.90806,0.79738,1.03298,0.0007055,0.0007055,0.0007055
46,108.239,0.44511,0.62067,0.93698,0.82302,0.95215,0.94174,0.70948,0.91027,0.79535,1.01785,0.000693125,0.000693125,0.000693125
47,110.776,0.45248,0.61403,0.93796,0.87852,0.93333,0.93994,0.69075,0.9245,0.80934,1.00838,0.00068075,0.00068075,0.00068075
48,113.297,0.4527,0.62686,0.93223,0.90646,0.95311,0.94869,0.70823,0.91424,0.80167,0.9932,0.000668375,0.000668375,0.000668375
49,115.595,0.43262,0.59883,0.9431,0.93994,0.91957,0.94487,0.73072,0.86277,0.75457,0.97575,0.000656,0.000656,0.000656
50,117.866,0.447,0.60569,0.95837,0.93945,0.90872,0.94013,0.72696,0.85317,0.73386,0.97914,0.000643625,0.000643625,0.000643625
51,120.182,0.42721,0.59696,0.93458,0.92146,0.918,0.93769,0.72958,0.87957,0.74437,0.99185,0.00063125,0.00063125,0.00063125
52,122.448,0.45646,0.58388,0.91881,0.85226,0.91402,0.94014,0.72403,0.88546,0.74973,0.98298,0.000618875,0.000618875,0.000618875
53,124.81,0.41364,0.59469,0.93098,0.86275,0.90208,0.93605,0.71413,0.89872,0.76675,0.98686,0.0006065,0.0006065,0.0006065
54,127.573,0.4355,0.57161,0.92233,0.84131,0.89744,0.93553,0.71775,0.91297,0.75532,0.98112,0.000594125,0.000594125,0.000594125
55,130.155,0.44243,0.5659,0.92601,0.89323,0.85698,0.93823,0.72748,0.9195,0.76572,0.9844,0.00058175,0.00058175,0.00058175
56,132.538,0.46515,0.57429,0.93769,0.87451,0.8803,0.93384,0.71803,0.97623,0.84852,1.03204,0.000569375,0.000569375,0.000569375
57,134.804,0.42974,0.62123,0.94483,0.82332,0.90974,0.93853,0.7118,0.99182,0.89849,1.0413,0.000557,0.000557,0.000557
58,137.199,0.41123,0.562,0.92008,0.81508,0.91326,0.93874,0.69926,0.97907,0.92218,1.03704,0.000544625,0.000544625,0.000544625
