epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67465,1.21494,3.4377,1.34065,0.00616,0.49792,0.11173,0.07738,0.89948,3.41962,1.18195,5e-05,5e-05,5e-05
2,9.95035,0.98603,3.28079,1.2373,0.00706,0.47292,0.20492,0.13542,0.87947,3.43547,1.1066,0.000111386,0.000111386,0.000111386
3,12.19,0.72082,2.77346,1.12383,0.01006,0.47292,0.3038,0.19621,0.83836,3.3735,1.00061,0.000171535,0.000171535,0.000171535
4,14.3905,0.70369,2.03742,1.08907,0.01135,0.48958,0.29167,0.19867,0.82294,3.23679,0.96947,0.000230446,0.000230446,0.000230446
5,16.7456,0.66862,1.59168,1.0576,0.01713,0.54167,0.376,0.28016,0.79799,3.14565,1.00263,0.00028812,0.00028812,0.00028812
6,18.9033,0.63389,1.36368,1.02498,0.03002,0.56667,0.3089,0.23652,0.86618,3.16159,1.02645,0.000344556,0.000344556,0.000344556
7,21.3066,0.64627,1.18917,1.04316,0.96646,0.175,0.35969,0.24449,0.85243,3.05531,1.07038,0.000399755,0.000399755,0.000399755
8,23.6024,0.6313,1.0937,1.04754,0.94032,0.225,0.31489,0.2483,0.88415,2.93485,1.03609,0.000453716,0.000453716,0.000453716
9,25.6911,0.62057,1.14539,1.0619,0.97066,0.2,0.40394,0.30088,1.01885,2.71597,1.1158,0.00050644,0.00050644,0.00050644
10,27.9603,0.58946,1.03104,1.03332,0.89267,0.25,0.59528,0.46692,0.97834,2.63382,1.10689,0.000557926,0.000557926,0.000557926
11,30.1304,0.61008,0.96737,1.03774,0.92781,0.32481,0.65892,0.52351,0.90782,2.48297,1.11105,0.000608175,0.000608175,0.000608175
12,32.2737,0.58507,1.00223,1.0252,0.83931,0.3344,0.67256,0.50349,1.02393,2.32711,1.19698,0.000657186,0.000657186,0.000657186
13,34.5108,0.58178,0.99165,1.02021,0.96989,0.25,0.75838,0.52492,1.1495,2.45906,1.24721,0.00070496,0.00070496,0.00070496
14,36.6757,0.58634,0.94558,1.03165,0.82991,0.41388,0.8564,0.59065,1.13876,2.23672,1.23214,0.000751496,0.000751496,0.000751496
