epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28459,1.28093,3.58978,1.32848,0.00638,0.51667,0.03093,0.01956,0.95239,3.41928,1.22356,5e-05,5e-05,5e-05
2,10.7158,0.95743,3.31128,1.20385,0.00766,0.51667,0.18632,0.12815,0.90048,3.4067,1.17061,0.000111386,0.000111386,0.000111386
3,13.1898,0.77206,2.91385,1.14134,0.01181,0.56667,0.31286,0.20422,0.94707,3.30958,1.10527,0.000171535,0.000171535,0.000171535
4,15.8845,0.70462,2.05398,1.05999,0.0145,0.54167,0.36272,0.23356,0.82334,3.20602,1.05498,0.000230446,0.000230446,0.000230446
5,18.505,0.70125,1.65583,1.07071,0.02167,0.54167,0.27733,0.17231,0.87781,3.19723,1.07554,0.00028812,0.00028812,0.00028812
6,21.0644,0.69056,1.53523,1.05376,0.03271,0.56667,0.26879,0.19299,0.91484,3.18727,1.06581,0.000344556,0.000344556,0.000344556
7,23.659,0.66564,1.39747,1.02783,0.9718,0.19513,0.38683,0.28288,0.93705,2.96093,1.07791,0.000399755,0.000399755,0.000399755
8,26.0946,0.65836,1.3618,1.03798,0.89405,0.22778,0.37958,0.29138,0.86382,2.81428,1.06629,0.000453716,0.000453716,0.000453716
9,28.7889,0.61301,1.16417,0.98875,0.87135,0.24493,0.35478,0.28501,0.81389,2.72974,1.00811,0.00050644,0.00050644,0.00050644
10,31.4449,0.60024,1.14253,0.9934,0.89433,0.28056,0.37764,0.27978,0.90496,2.58062,1.08604,0.000557926,0.000557926,0.000557926
11,34.0611,0.60524,1.11864,0.98684,0.90186,0.22926,0.4997,0.36774,0.94403,2.6684,1.03745,0.000608175,0.000608175,0.000608175
12,36.5586,0.60801,1.00674,0.97159,0.6643,0.26024,0.58054,0.43618,0.9294,2.54724,1.03347,0.000657186,0.000657186,0.000657186
13,39.0461,0.62064,1.08185,0.98949,0.68357,0.30181,0.6433,0.48295,0.91192,2.4331,1.02913,0.00070496,0.00070496,0.00070496
14,41.5289,0.63031,0.99115,0.98658,0.66226,0.32627,0.60759,0.4429,1.01666,2.41233,1.08033,0.000751496,0.000751496,0.000751496
15,44.1085,0.62063,0.95301,0.98736,0.61777,0.38399,0.58266,0.40676,1.03304,2.32179,1.10235,0.000796795,0.000796795,0.000796795
16,46.6525,0.60937,0.92493,0.96997,0.62839,0.42774,0.60057,0.42252,0.95905,2.21257,1.04301,0.000840856,0.000840856,0.000840856
17,49.2616,0.59135,0.91949,0.97251,0.72173,0.53752,0.6501,0.47531,0.91652,2.10319,1.05552,0.00088368,0.00088368,0.00088368
18,51.7067,0.61425,0.92573,0.98173,0.75226,0.54939,0.75257,0.56081,0.8969,1.9683,1.09312,0.000925266,0.000925266,0.000925266
19,54.07,0.58679,0.95116,0.99985,0.60323,0.62169,0.7422,0.52373,0.94606,1.87793,1.15459,0.000965615,0.000965615,0.000965615
20,56.6808,0.59991,0.91182,0.97517,0.76941,0.84065,0.85212,0.61706,0.96673,1.48487,1.12699,0.00100473,0.00100473,0.00100473
21,59.5905,0.57649,0.89706,0.97846,0.77899,0.83323,0.81787,0.59197,0.95287,1.43766,1.07,0.0010025,0.0010025,0.0010025
22,62.22,0.6207,0.87008,0.96977,0.7385,0.81155,0.80234,0.58831,0.96351,1.57226,1.06297,0.000990125,0.000990125,0.000990125
23,64.6668,0.58902,0.92889,0.96304,0.74635,0.84292,0.83972,0.62879,0.95581,1.46817,1.14206,0.00097775,0.00097775,0.00097775
24,67.2324,0.57949,0.85431,0.97479,0.7648,0.89722,0.81723,0.57571,1.09507,1.28133,1.23827,0.000965375,0.000965375,0.000965375
25,69.6033,0.55237,0.8788,0.97829,0.72576,0.91066,0.85043,0.59863,1.00512,1.28123,1.23478,0.000953,0.000953,0.000953
26,72.1749,0.56921,0.85469,0.97264,0.74361,0.91388,0.86719,0.63295,1.02122,1.23014,1.25807,0.000940625,0.000940625,0.000940625
